iter	AUC	Logloss
590	0.7993950546	0.5745870768
591	0.7994118333	0.5745458905
592	0.7994139791	0.5744971194
593	0.7994121611	0.5744524262
594	0.79943946	0.5744103835
595	0.7994531989	0.5743656495
596	0.7994569242	0.5743162259
597	0.7994616032	0.574265946
598	0.7994632721	0.5742199479
599	0.7994620502	0.5741730526
600	0.7994617522	0.574126402
601	0.7995365262	0.57408754
602	0.799544245	0.5740392175
603	0.7995634079	0.5739979497
604	0.799557209	0.5739534603
605	0.7995547354	0.5739075029
606	0.7995570004	0.5738602406
607	0.7995803654	0.5738175047
608	0.7995888889	0.573769957
609	0.7995864451	0.5737267318
610	0.7996088862	0.5736868504
611	0.7996106148	0.5736426873
612	0.7996088862	0.5735995436
613	0.7996143699	0.5735553805
614	0.7996639311	0.5735177011
615	0.7996638119	0.5734736196
616	0.7996637225	0.5734270097
617	0.799667567	0.573387373
618	0.7996807098	0.5733452896
619	0.7996944487	0.5733013711
620	0.7997564375	0.5732643442
621	0.799782455	0.5732228317
622	0.7998036742	0.57318503
623	0.7998171747	0.5731412339
624	0.7998180389	0.5730973562
625	0.7998209894	0.5730578011
626	0.7998436093	0.5730179605
627	0.7998759747	0.5729810559
628	0.7998768985	0.5729381569
629	0.7998782396	0.5728946055
630	0.7998858392	0.5728537862
631	0.7998888791	0.5728145165
632	0.7998838425	0.5727749613
633	0.7998847663	0.5727307167
634	0.7998856902	0.5726885109
635	0.7999275029	0.5726519734
636	0.7999388576	0.5726115618
637	0.7999670208	0.5725815489
638	0.7999699116	0.5725428501
639	0.799995333	0.5725073728
640	0.7999918759	0.5724664719
641	0.7999952734	0.5724222272
642	0.7999926805	0.5723830391
643	0.7999972105	0.5723398954
644	0.8000291884	0.5723054376
645	0.8000267744	0.5722620085
646	0.800026834	0.5722203736
647	0.8000531197	0.5721879139
648	0.8000560999	0.5721461975
649	0.8000557423	0.5721043995
650	0.8000594378	0.5720616636
651	0.8000603318	0.5720203142
652	0.8000639379	0.5719774968
653	0.8000643551	0.5719380232
654	0.8000662923	0.5718979379
655	0.8000674546	0.5718603401
656	0.8000915945	0.5718278804
657	0.8000921309	0.5717871019
658	0.800106734	0.5717545199
659	0.8001161814	0.5717172891
660	0.8001230359	0.571681037
661	0.8001444042	0.5716486997
662	0.8001475036	0.5716071464
663	0.8001494408	0.5715668572
664	0.8001568317	0.571533378
665	0.8001540899	0.5714937005
666	0.8001729548	0.5714625865
667	0.8001708686	0.5714211963
668	0.8001839817	0.5713847811
669	0.8001880348	0.571347795
670	0.8002283573	0.5713185976
671	0.8002296388	0.5712803881
672	0.8002402186	0.5712443399
673	0.8002421856	0.5712045401
674	0.8002487719	0.5711699599
675	0.8002481163	0.5711327699
676	0.8002675176	0.5710982305
677	0.8002683222	0.5710600211
678	0.8003029525	0.5710267866
679	0.8003037572	0.5709913093
680	0.8003068268	0.5709567291
681	0.8003204465	0.5709244325
682	0.8003572226	0.5708976818
683	0.8004209101	0.570868933
684	0.8004213274	0.5708311721
685	0.8004282117	0.5708044621
686	0.8004328609	0.570767843
687	0.8004390299	0.5707319172
688	0.8004724979	0.5707016595
689	0.8004693389	0.570665489
690	0.8004731238	0.5706302971
691	0.8005024195	0.5706042397
692	0.800506115	0.5705705566
693	0.8005287945	0.5705400951
694	0.8005391061	0.5705092665
695	0.8005423546	0.5704720765
696	0.8005406857	0.5704353758
697	0.8005590737	0.5704043026
698	0.8005656004	0.5703732702
699	0.8005732	0.5703374666
700	0.8005921841	0.5703052924
701	0.8005963266	0.5702727104
702	0.8005953133	0.5702395167
703	0.8005990386	0.5701996353
704	0.8006002903	0.5701614258
705	0.8006078303	0.5701339003
706	0.8006106913	0.5700977706
707	0.800627619	0.5700666158
708	0.8006236553	0.5700321987
709	0.8006451726	0.5699973739
710	0.8006461859	0.5699600615
711	0.8006480634	0.569925726
712	0.8006576002	0.5698937557
713	0.8006787002	0.5698637835
714	0.8006829321	0.5698264303
715	0.80068174	0.5697927065
716	0.800693363	0.5697653849
717	0.8006965816	0.5697348418
718	0.8006980121	0.5697052366
719	0.8007133007	0.5696727361
720	0.8007504046	0.5696468418
721	0.8007523715	0.5696111198
722	0.8007641137	0.569583839
723	0.8007693291	0.5695468529
724	0.8007892072	0.5695192458
725	0.8007930517	0.5694842171
726	0.800799489	0.5694511865
727	0.8008036613	0.5694163616
728	0.8008261919	0.569386471
729	0.8008461595	0.5693570697
730	0.8008645773	0.5693302374
731	0.8008705378	0.5692989603
732	0.8008802831	0.5692758389
733	0.800885886	0.5692406878
734	0.8008911908	0.5692152013
735	0.8009180427	0.5691913458
736	0.8009213507	0.5691583152
737	0.8009244204	0.5691263857
738	0.8009411097	0.5690960872
739	0.8009478748	0.5690647285
740	0.8009630442	0.5690363059
741	0.8009694219	0.5690111864
742	0.8010040522	0.5689865969
743	0.8010056019	0.5689554014
744	0.8010157049	0.5689251437
745	0.8010228276	0.568895824
746	0.8010154665	0.5688693995
747	0.8010268807	0.5688442799
748	0.8010374606	0.5688161835
749	0.801056236	0.5687875978
750	0.8010646999	0.5687562391
751	0.8010762334	0.5687246358
752	0.8010867238	0.568696417
753	0.80109635	0.5686650176
754	0.8010989726	0.5686325579
755	0.8011113703	0.5686013215
756	0.8011323512	0.5685763243
757	0.8011363745	0.5685475755
758	0.8011324704	0.5685202946
759	0.8011543453	0.5684908933
760	0.8011670113	0.5684676904
761	0.8011859357	0.5684411843
762	0.8011908829	0.5684119461
763	0.8011990786	0.568384176
764	0.8012018502	0.568353062
765	0.8012037277	0.5683205207
766	0.801212579	0.5682909155
767	0.8012433648	0.5682682019
768	0.8012503386	0.5682414512
769	0.801251173	0.5682081351
770	0.8012531102	0.5681760425
771	0.8012547791	0.5681458256
772	0.8012662232	0.5681209507
773	0.8012904823	0.568092732
774	0.8012961745	0.5680598237
775	0.8013061583	0.5680310749
776	0.8013243675	0.5680084836
777	0.8013414741	0.5679820999
778	0.8013516068	0.5679523723
779	0.8013594449	0.5679255401
780	0.8013740182	0.5679016846
781	0.8013837934	0.5678729358
782	0.8013929725	0.5678456142
783	0.8014036119	0.5678160905
784	0.8014145195	0.5677927245
785	0.8014335334	0.5677660145
786	0.8014401197	0.567740528
787	0.8014422655	0.56771235
788	0.8014416397	0.5676811137
789	0.8014485538	0.5676526503
