iter	Passed	Remaining
916	47890	735485
917	47941	735423
918	47999	735447
919	48046	735318
920	48104	735356
921	48168	735488
922	48225	735507
923	48274	735406
924	48326	735342
925	48390	735480
926	48436	735332
927	48489	735291
928	48549	735344
929	48602	735310
930	48656	735279
931	48715	735331
932	48772	735351
933	48822	735272
934	48883	735340
935	48937	735322
936	48991	735292
937	49054	735395
938	49104	735309
939	49155	735238
940	49209	735208
941	49264	735205
942	49310	735062
943	49367	735076
944	49417	734990
945	49482	735120
946	49537	735116
947	49605	735285
948	49671	735440
949	49722	735368
950	49779	735387
951	49844	735514
952	49887	735331
953	49956	735530
954	50022	735672
955	50080	735696
956	50128	735590
957	50189	735655
958	50250	735735
959	50299	735626
960	50347	735520
961	50405	735543
962	50456	735465
963	50507	735403
964	50586	735736
965	50641	735714
966	50690	735621
967	50754	735728
968	50808	735695
969	50854	735561
970	50905	735482
971	50956	735416
972	51012	735415
973	51067	735396
974	51116	735288
975	51175	735328
976	51227	735278
977	51282	735255
978	51345	735363
979	51407	735444
980	51456	735344
981	51519	735441
982	51572	735387
983	51634	735479
984	51688	735451
985	51741	735403
986	51797	735401
987	51846	735295
988	51896	735205
989	51950	735171
990	52003	735128
991	52052	735029
992	52106	735005
993	52164	735020
994	52215	734958
995	52272	734964
996	52324	734897
997	52380	734898
998	52428	734780
999	52484	734779
1000	52538	734752
1001	52594	734753
1002	52647	734703
1003	52717	734889
1004	52778	734954
1005	52835	734964
1006	52882	734835
1007	52935	734795
1008	52991	734786
1009	53045	734761
1010	53105	734811
1011	53157	734756
1012	53222	734869
1013	53273	734796
1014	53330	734799
1015	53383	734760
1016	53436	734708
1017	53496	734765
1018	53549	734717
1019	53606	734724
1020	53669	734816
1021	53730	734878
1022	53784	734851
1023	53841	734858
1024	53905	734954
1025	53954	734850
1026	54003	734757
1027	54054	734684
1028	54112	734694
1029	54160	734582
1030	54214	734544
1031	54271	734552
1032	54325	734520
1033	54380	734506
1034	54440	734555
1035	54491	734474
1036	54544	734436
1037	54604	734482
1038	54656	734415
1039	54709	734372
1040	54758	734275
1041	54818	734317
1042	54873	734288
1043	54927	734263
1044	54980	734219
1045	55033	734167
1046	55092	734200
1047	55138	734063
1048	55193	734041
1049	55248	734014
1050	55299	733941
1051	55350	733864
1052	55400	733777
1053	55459	733817
1054	55525	733936
1055	55577	733869
1056	55630	733823
1057	55679	733730
1058	55727	733608
1059	55783	733602
1060	55837	733567
1061	55886	733472
1062	55943	733469
1063	55998	733448
1064	56047	733357
1065	56099	733297
1066	56157	733311
1067	56211	733276
1068	56263	733215
1069	56322	733244
1070	56373	733176
1071	56434	733233
1072	56490	733219
1073	56536	733084
1074	56591	733063
1075	56640	732957
1076	56698	732978
1077	56760	733038
1078	56809	732947
1079	56867	732955
1080	56919	732895
1081	56970	732827
1082	57022	732763
1083	57082	732809
1084	57129	732673
1085	57178	732581
1086	57232	732548
1087	57282	732458
1088	57342	732498
1089	57393	732420
1090	57443	732340
1091	57501	732358
1092	57552	732279
1093	57601	732176
1094	57652	732110
1095	57706	732068
1096	57759	732021
1097	57810	731945
1098	57876	732064
1099	57931	732041
1100	57987	732031
1101	58040	731981
1102	58091	731910
1103	58138	731791
1104	58202	731882
1105	58266	731961
1106	58325	731999
1107	58398	732200
1108	58460	732254
1109	58518	732271
1110	58579	732324
1111	58640	732368
1112	58694	732332
1113	58742	732219
1114	58800	732234
1115	58859	732267
1116	58916	732265
1117	58963	732143
1118	59014	732060
1119	59073	732086
1120	59129	732071
1121	59188	732098
1122	59255	732219
1123	59316	732272
1124	59369	732218
1125	59419	732137
1126	59472	732081
1127	59533	732138
1128	59585	732078
1129	59646	732126
1130	59703	732117
1131	59758	732090
1132	59814	732084
1133	59860	731947
1134	59909	731848
1135	59960	731771
1136	60017	731772
1137	60067	731685
1138	60118	731611
1139	60168	731519
1140	60241	731714
1141	60296	731689
1142	60352	731669
1143	60401	731573
1144	60451	731492
1145	60510	731516
1146	60564	731470
1147	60614	731385
1148	60661	731266
1149	60723	731317
1150	60772	731220
1151	60824	731164
1152	60884	731190
1153	60937	731146
1154	60991	731102
1155	61038	730986
